Product ID,Product Title,Product Subtitle,Product Label,Product Features,Product Images,Digital Assets - Main Product Image,Digital Assets - 45-Degree Angled View,Digital Assets - Front View,Digital Assets - Left Side View,Digital Assets - Right Side View,Digital Assets - Top View,Digital Assets - Back View,Digital Assets - Packaging 45 Degree Angled View,Digital Assets - Packaging Back View,Digital Assets - Packaging Front View,Digital Assets - Packaging Left Side View,Digital Assets - Packaging Right Side View,Digital Assets - Feature Image 1,Digital Assets - Feature Image 2,Digital Assets - Feature Image 3,Digital Assets - Feature Image 4,Digital Assets - Feature Image 5,Digital Assets - Feature Image 6,Digital Assets - Feature Image 7,Digital Assets - Additional Feature Images,Digital Assets - Lifestyle Image 1,Digital Assets - Lifestyle Image 2,Digital Assets - Lifestyle Image 3,Digital Assets - Lifestyle Image 4,Digital Assets - Lifestyle Image 5,Digital Assets - Lifestyle Image 6,Digital Assets - Lifestyle Image 7,Digital Assets - Additional Lifestyle Images,Digital Assets - Product Assembly Video,Digital Assets - Product Installation Video,Digital Assets - Product Marketing Video,Digital Assets - Product Teaser Video,Digital Assets - Product Training Video,Digital Assets - Assembly/Instructional Guide - PDF,Digital Assets - DoC (Declaration of Conformity) - PDF,Digital Assets - DoP (Declaration of Performance and Test Reports) - PDF,Digital Assets - Energy Guide - PDF,Digital Assets - FSC Certification for Packaging - PDF,Digital Assets - FSC Certification for Product - PDF,Digital Assets - Installation Guide - PDF,Digital Assets - POPs (Persistent Organic Pollutants) - PDF,Digital Assets - Product Certifications - PDF,"Digital Assets - REACH (Registration, Evaluation, Authorization, and Restriction of Chemicals) - PDF",Digital Assets - Safety Data Sheet (SDS) - PDF,Digital Assets - Sell Sheet - PDF,Digital Assets - SHVC (Substances of Very High Concern) - PDF,Digital Assets - Use & Care Manual - PDF,PRODUCT DESCRIPTIONS - Long Description,PRODUCT DESCRIPTIONS - Shortened Description,PRODUCT DESCRIPTIONS - Collated Feature & Benefit,PRODUCT DESCRIPTIONS - Sell Sheet - PDF,PRODUCT DESCRIPTIONS - Assembly/Instructional Guide - PDF,PRODUCT DESCRIPTIONS - Energy Guide - PDF,PRODUCT DESCRIPTIONS - Installation Guide - PDF,PRODUCT DESCRIPTIONS - Safety Data Sheet (SDS) - PDF,PRODUCT DESCRIPTIONS - Use & Care Manual - PDF,PRODUCT DESCRIPTIONS - Assembly/Instructional Guide - PDF,PRODUCT DESCRIPTIONS - Energy Guide - PDF,PRODUCT DESCRIPTIONS - Installation Guide - PDF,PRODUCT DESCRIPTIONS - Safety Data Sheet (SDS) - PDF,PRODUCT DESCRIPTIONS - Use & Care Manual - PDF,Packaged Dimensions - Package Depth - Centimeters,Packaged Dimensions - Package Depth - Inches,Packaged Dimensions - Package Depth - Millimeters,Packaged Dimensions - Package Height - Centimeters,Packaged Dimensions - Package Height - Inches,Packaged Dimensions - Package Height - Millimeters,Packaged Dimensions - Package Width - Centimeters,Packaged Dimensions - Package Width - Millimeters,Packaged Dimensions - Package Width - Inches,Packaged Dimensions - Package Weight - Grams,Packaged Dimensions - Package Weight - Kilograms,Packaged Dimensions - Package Weight - Pounds
OX-W5556 : OX-W555606,OX Ultra Engineered Hooded Fleece Dark Forest - XXL,Tool Storage > Workwear > Jackets,OX-W5556 : OX-W555606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OX-T200MC1,OX Trade Construction Marker Chisel Tip - Black,,OX-T200MC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OX-S242413,"OX Water Proof Safety Boot (PVC) , Size 13",Site & Shop Accessories > Safety > Foot Protection,OX-S242413,"Steel toe & midsole, Fuel oil resistant sole, Antistatic footwear, Protection against perforation at least 1100N, Slip resistance on ceramic/stainless steel floors",http://images.salsify.com/image/upload/s--wuH4fZgi--/aczt1ht2rbfdgtpgfoch.png,http://images.salsify.com/image/upload/s--wuH4fZgi--/aczt1ht2rbfdgtpgfoch.png,http://images.salsify.com/image/upload/s--jqNY2x1W--/ep18rpkgav8lubkbfzat.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The OX Safety Wellington Boot - Size 13 are designed to offer all-around protection with their antistatic and fuel and oil-resistant material. A steel mid sole protect you against perforations and falling objects.,"Steel toe & midsole, Fuel oil resistant sole, Antistatic footwear, Protection against perforation at least 1100N, Slip resistance on ceramic/stainless steel floors",,,,,,,,,,,,43,16.93,430.0,14,5.51,140.0,36,360.0,14.17,3120,3.12,6.88
OX-MCBOOK-E1-CA,CA Master Retail Catalog - Edition 1,Marketing & Promotional > Promotional > Catalogues,OX-MCBOOK-E1-CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48
OX-P016202,OX Fresno Trowel Bracket only,Wet Trade Hand Tools > Concreting Tools > Concrete Trowels,OX-P016202,,http://images.salsify.com/image/upload/s--dZ70vG9k--/kfydgzc4pxviwpfurug1.png,http://images.salsify.com/image/upload/s--dZ70vG9k--/kfydgzc4pxviwpfurug1.png,http://images.salsify.com/image/upload/s--Sh7T9N1y--/eb9linte8usc0pjawgyp.png,http://images.salsify.com/image/upload/s--9glEvGM4--/r2h4tvwd7oi9bluc2rok.png,,,,,http://images.salsify.com/image/upload/s--dZ70vG9k--/kfydgzc4pxviwpfurug1.png,,,,,http://images.salsify.com/image/upload/s--NYhxigKX--/urt7qqumzs0sep26wbif.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,7.09,180.0,3,1.18,30.0,6,60.0,2.36,300,0.3,0.66
OX-UMC-9,"Ultimate Metal Cutting Vacuum Brazed Diamond Blade | 9"" / 230mm",Power Tool Accessories > Diamond Blades > Metal Blades,OX-UMC-9,,http://images.salsify.com/image/upload/s--s5JmgYlx--/wf3wqzqrprlokrpbc3rt.jpg,http://images.salsify.com/image/upload/s--s5JmgYlx--/wf3wqzqrprlokrpbc3rt.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1
OX-P018718,"OX Pro Pointed Flooring Trowel - 18"" / 450mm",Wet Trade Hand Tools > Concreting Tools > Concrete Trowels,OX-P018718,"DURAGRIP handle with soft grip, High grade and flexible stainless steel blade, Heavy duty fully riveted aluminium shank, Stainless steel rivets for holding the blade, shank and handle together for unsurpassed strength, 450 x 115mm Blade",http://images.salsify.com/image/upload/s--YbdXGDq6--/adz8btwhjowshv7h0nqt.png,http://images.salsify.com/image/upload/s--YbdXGDq6--/adz8btwhjowshv7h0nqt.png,http://images.salsify.com/image/upload/s--YbdXGDq6--/adz8btwhjowshv7h0nqt.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The OX Pro Pointed Flooring Trowel - 18"" / 450mm comes with a soft DURAGRIP handle and a flexible stainless steel blade for ease of use. Stainless steel rivets hold the blade, shank and handle together for unsurpassed strength and durability.","DURAGRIP handle with soft grip, High grade and flexible stainless steel blade, Heavy duty fully riveted aluminium shank, Stainless steel rivets for holding the blade, shank and handle together for unsurpassed strength, 450 x 115mm Blade",,,,,,,,,,,,9.5,,95.0,56,,560.0,11.5,115.0,,593,0.593,1.3
OX-P040709127,QUBOX Cube Alu matt silver 6 x 2500mm,Wet Trade Hand Tools > Tiling Tools > Tile Profiles,OX-P040709127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OX-T022972,OX Trade Medium Red Carpenters Pencils - 72 pack,General Hand Tools > Marking > Pencils,OX-T022972,,http://images.salsify.com/image/upload/s--2fxFFIxP--/pnea0463lcqqsbt22keo.png,http://images.salsify.com/image/upload/s--2fxFFIxP--/pnea0463lcqqsbt22keo.png,http://images.salsify.com/image/upload/s--dNZ9vWEb--/lbkx8hfmf30cd9wgdfo1.png,,,,http://images.salsify.com/image/upload/s--BNmGcisa--/rc3lorlquwpxxdgngzjn.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,7.09,180.0,7,2.76,70.0,12,120.0,4.72,220,0.22,0.49
OX-E061010430,QUTEX Cube Stainless polished 8 x 2700mm,Wet Trade Hand Tools > Tiling Tools > Tile Profiles,OX-E061010430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
