Product ID,Product Title,Product Subtitle,Product Label,Product Features,Product Images,Digital Assets - Main Product Image,Digital Assets - 45-Degree Angled View,Digital Assets - Front View,Digital Assets - Left Side View,Digital Assets - Right Side View,Digital Assets - Top View,Digital Assets - Back View,Digital Assets - Packaging 45 Degree Angled View,Digital Assets - Packaging Back View,Digital Assets - Packaging Front View,Digital Assets - Packaging Left Side View,Digital Assets - Packaging Right Side View,Digital Assets - Feature Image 1,Digital Assets - Feature Image 2,Digital Assets - Feature Image 3,Digital Assets - Feature Image 4,Digital Assets - Feature Image 5,Digital Assets - Feature Image 6,Digital Assets - Feature Image 7,Digital Assets - Additional Feature Images,Digital Assets - Lifestyle Image 1,Digital Assets - Lifestyle Image 2,Digital Assets - Lifestyle Image 3,Digital Assets - Lifestyle Image 4,Digital Assets - Lifestyle Image 5,Digital Assets - Lifestyle Image 6,Digital Assets - Lifestyle Image 7,Digital Assets - Additional Lifestyle Images,Digital Assets - Product Assembly Video,Digital Assets - Product Installation Video,Digital Assets - Product Marketing Video,Digital Assets - Product Teaser Video,Digital Assets - Product Training Video,Digital Assets - Assembly/Instructional Guide - PDF,Digital Assets - DoC (Declaration of Conformity) - PDF,Digital Assets - DoP (Declaration of Performance and Test Reports) - PDF,Digital Assets - Energy Guide - PDF,Digital Assets - FSC Certification for Packaging - PDF,Digital Assets - FSC Certification for Product - PDF,Digital Assets - Installation Guide - PDF,Digital Assets - POPs (Persistent Organic Pollutants) - PDF,Digital Assets - Product Certifications - PDF,"Digital Assets - REACH (Registration, Evaluation, Authorization, and Restriction of Chemicals) - PDF",Digital Assets - Safety Data Sheet (SDS) - PDF,Digital Assets - Sell Sheet - PDF,Digital Assets - SHVC (Substances of Very High Concern) - PDF,Digital Assets - Use & Care Manual - PDF,PRODUCT DESCRIPTIONS - Long Description,PRODUCT DESCRIPTIONS - Shortened Description,PRODUCT DESCRIPTIONS - Collated Feature & Benefit,PRODUCT DESCRIPTIONS - Sell Sheet - PDF,PRODUCT DESCRIPTIONS - Assembly/Instructional Guide - PDF,PRODUCT DESCRIPTIONS - Energy Guide - PDF,PRODUCT DESCRIPTIONS - Installation Guide - PDF,PRODUCT DESCRIPTIONS - Safety Data Sheet (SDS) - PDF,PRODUCT DESCRIPTIONS - Use & Care Manual - PDF,PRODUCT DESCRIPTIONS - Assembly/Instructional Guide - PDF,PRODUCT DESCRIPTIONS - Energy Guide - PDF,PRODUCT DESCRIPTIONS - Installation Guide - PDF,PRODUCT DESCRIPTIONS - Safety Data Sheet (SDS) - PDF,PRODUCT DESCRIPTIONS - Use & Care Manual - PDF,Packaged Dimensions - Package Depth - Centimeters,Packaged Dimensions - Package Depth - Inches,Packaged Dimensions - Package Depth - Millimeters,Packaged Dimensions - Package Height - Centimeters,Packaged Dimensions - Package Height - Inches,Packaged Dimensions - Package Height - Millimeters,Packaged Dimensions - Package Width - Centimeters,Packaged Dimensions - Package Width - Millimeters,Packaged Dimensions - Package Width - Inches,Packaged Dimensions - Package Weight - Grams,Packaged Dimensions - Package Weight - Kilograms,Packaged Dimensions - Package Weight - Pounds
OX-UDH10-5,OX Ultimate 5-Inch Multi-Cut Diamond Blade,Power Tool Accessories > Diamond Blades > Asphalt/Block Blades,OX-UDH10-5,,http://images.salsify.com/image/upload/s--AfBe_FS2--/hgpdx1j9zkdrxaobu5xh.jpg,http://images.salsify.com/image/upload/s--AfBe_FS2--/hgpdx1j9zkdrxaobu5xh.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OX-T537105,OX Trade V Notch Trowel - 5mm,Wet Trade Hand Tools > Tiling Tools > Tile Trowels,OX-T537105,,http://images.salsify.com/image/upload/s--jS9ZjXGY--/c3bjhr1tbw53se0xsxgo.png,http://images.salsify.com/image/upload/s--jS9ZjXGY--/c3bjhr1tbw53se0xsxgo.png,,http://images.salsify.com/image/upload/s--1Z_gFG7I--/rpemqw2dkfpkijso9i3r.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,0.36,
OX-W550708,OX Jogger-Trackies Grey - 42,Tool Storage > Workwear > Trousers,OX-W550708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,0.8,
OX-PB10-4.5,"Pro Segmented Combination Diamond Blade | Diameter: 4.5"" / 114mm | Bore: 7/8"" - 5/8"" / 22mm - 15mm",Power Tool Accessories > Diamond Blades > Concrete/Masonry Blades,OX-PB10-4.5,,http://images.salsify.com/image/upload/s--cvyR8qOo--/fzc4ppilfkzuvuuafoko.png,http://images.salsify.com/image/upload/s--cvyR8qOo--/fzc4ppilfkzuvuuafoko.png,,http://images.salsify.com/image/upload/s--JJJqnwcw--/anbpgnnuamvlag0rsz2n.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,4.72,120.0,1,0.39,10.0,13,130.0,5.12,200,0.2,0.2
XLS-115/22,Trade XL Super - Turbo Segmented Diamond Blade - Concrete & GP - 115/22.23mm,Power Tool Accessories > Diamond Blades > General Purpose Blades,XLS-115/22,"10mm Turbo segment blade for fast cutting of concrete products and general building materials, Applications: medium to hard building products, kerbs & slabs, concrete paviors, light reinforced concrete, granite kerbs and general purpose building products",http://images.salsify.com/image/upload/s--NvZbFgKw--/fwfqsyd6auortmpi3ltg.png,http://images.salsify.com/image/upload/s--NvZbFgKw--/fwfqsyd6auortmpi3ltg.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OX Trade XL Super - Turbo Segmented Diamond Blade - Concrete & GP - 115/22.23mm. With its 10mm Turbo Segment blade, it swiftly cuts through concrete products and general building materials. Ideal for medium to hard building products, kerbs & slabs, concrete paviors, light reinforced concrete, granite kerbs, and general purpose building products.","10mm Turbo segment blade for fast cutting of concrete products and general building materials, Applications: medium to hard building products, kerbs & slabs, concrete paviors, light reinforced concrete, granite kerbs and general purpose building products",,,,,,,,,,,,0.2,,2.0,14.5,,145.0,12.5,125.0,,100,0.1,0.22928075
OX-T635602,Trade Permanent Marker - Black (48-Piece PPDU),General Hand Tools > Marking > Markers,OX-T635602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,,,5.9,,,,5.1,,,3.7
OX-PCB-14,"OX Pro PCB 14"" Bench Saw Diamond Blade - Combination",Power Tool Accessories > Diamond Blades > Masonry/Brick Blades,OX-PCB-14,,http://images.salsify.com/image/upload/s--BStAOKTD--/ttl8unlsuby1758ajmy6.png,http://images.salsify.com/image/upload/s--BStAOKTD--/ttl8unlsuby1758ajmy6.png,,http://images.salsify.com/image/upload/s--5bemaf1o--/fiaaodt2lkmj8ficrfqq.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,16.14,410.0,1,0.39,10.0,36,360.0,14.17,2000,2,4.41
OX-PC10-14,"OX Pro PC10 Segmented Diamond Blade - 14""/350mm",Power Tool Accessories > Diamond Blades > General Purpose Blades,OX-PC10-14,,http://images.salsify.com/image/upload/s--X1njZzDl--/j8ctnh9lzcsshczxakvt.png,http://images.salsify.com/image/upload/s--X1njZzDl--/j8ctnh9lzcsshczxakvt.png,http://images.salsify.com/image/upload/s--UKgBIKvm--/pgqkzsr4xqteisg6khse.png,http://images.salsify.com/image/upload/s--X1njZzDl--/j8ctnh9lzcsshczxakvt.png,,,,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--60lbGYX4--/deu7elxdvv9dyfix4b8c.jpg,http://images.salsify.com/image/upload/s--rnII9GCp--/anlq7tij6wwldwvxbv8j.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,16.14,410.0,1,0.39,10.0,36,360.0,14.17,2000,2,4.41
OX-T189430,OX Trowel Machine Part - TM30 V Belt,Power Tools > Wet Trade Power Tools > Trowelling Machines & Accessories,OX-T189430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OX-W555003,OX Base Layer Legging Black - Medium,Tool Storage > Workwear > Trousers,OX-W555003,"4 way stretch fabric construction for comfort, Ergonomically cut for ease of movement, Flatlock and seam-to-seam construction for extra comfort, Medium weight light protection underlayer, Made from 210GSM - 88% PES / 12% Elastane",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The OX Base Layer Legging is designed for all-day comfort using an ergonomically designed cut. The garment provides maximin freedom of movement via a 4 way stretch fabric and flatlock seam-to-seam construction. Created as a second skin to provide medium weight light underlayer protection. Made from 210GSM - 88% PES / 12% Elastane.,"4 way stretch fabric construction for comfort, Ergonomically cut for ease of movement, Flatlock and seam-to-seam construction for extra comfort, Medium weight light protection underlayer, Made from 210GSM - 88% PES / 12% Elastane",,,,,,,,,,,,32,,320.0,1.1,,11.0,21,210.0,,231,0.23128,
OX-T332107,OX Trade 7 Step Fibreglass Platform Ladder - 150kgs,Site & Shop Accessories > Site Supplies > Ladders,OX-T332107,,http://images.salsify.com/image/upload/s--ZIUlZa-j--/wwtdq1b87bsggjzc1kyr.png,http://images.salsify.com/image/upload/s--ZIUlZa-j--/wwtdq1b87bsggjzc1kyr.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OX-T265610,OX Trade Black Leather 12 Pocket Construction Apron,Tool Storage > Tool Belts & Pouches > Rigs,OX-T265610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OX-UCDB-4,"OX Ultimate UCD 4"" Double Row Cup Wheel - 22.2mm bore",Power Tool Accessories > Cup Wheels > Double Row Cup Wheels,OX-UCDB-4,,http://images.salsify.com/image/upload/s--dxei37eQ--/ln7dwjuxkoxominisl7c.png,http://images.salsify.com/image/upload/s--dxei37eQ--/ln7dwjuxkoxominisl7c.png,http://images.salsify.com/image/upload/s--HXi1h8rq--/tnqjv7bjm9ybufuvoaj3.jpg,http://images.salsify.com/image/upload/s--98LL-wbM--/sjabo8fk4nb6duszjqyv.png,,,,,,,http://images.salsify.com/image/upload/s--FCQWI3rL--/chsikbfpkurqafkqzjnt.png,,,http://images.salsify.com/image/upload/s--xNd63_ea--/e5uvflzgvj01fetkqkyd.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,5.51,140.0,3,1.18,30.0,11,110.0,4.33,350,0.35,0.77
OX-P402514,OX - Spare Sponge - 6 Pack - 28mm,Wet Trade Hand Tools > Plastering Tools > Plaster Floats,OX-P402514,,http://images.salsify.com/image/upload/s--YCRYQFdt--/uvkxlkntgflwq3rh31te.jpg,http://images.salsify.com/image/upload/s--YCRYQFdt--/uvkxlkntgflwq3rh31te.jpg,http://images.salsify.com/image/upload/s--mHnbGGtm--/mbkdsjwv8w8ztsmj2uom.png,http://images.salsify.com/image/upload/s--pStCgDQZ--/jgv9gvfow2gbnrosvtv2.jpg,,,http://images.salsify.com/image/upload/s--XNGXM4yw--/ekcyqeoeemo1xpujyymb.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,350.0,24.6,,246.0,4.2,42.0,,1430,1.43,
OX-P131332,"OX Pro 12"" Hacksaw Blades 32 TPI Pack 4",General Hand Tools > Cutting > Saws,OX-P131332,"Cuts aluminium, iron, copper, carbon steel and hard plastic, Pack of 4 blades",http://images.salsify.com/image/upload/s--1GcuGOw5--/zd2wteycmj9qkdz62ydc.png,http://images.salsify.com/image/upload/s--1GcuGOw5--/zd2wteycmj9qkdz62ydc.png,http://images.salsify.com/image/upload/s--UG-V-ik6--/cr8szrtljxq65fxbfjj8.png,http://images.salsify.com/image/upload/s--0pDwYd8z--/hmgruz2ja9xwasldglb9.jpg,,,,,http://images.salsify.com/image/upload/s--1GcuGOw5--/zd2wteycmj9qkdz62ydc.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cuts aluminium, iron, copper, carbon steel and hard plastic, Pack of 4 blades",,,,,,,,,,,,0.30000000000000004,,3.0,39,,390.0,5,50.0,,74,0.074,0.17
MX10-125/22,Pro Laser Turbo Universal Diamond Blade - 125/22mm,Power Tool Accessories > Diamond Blades > Multi-Purpose Blades,MX10-125/22,"The fastest cutting universal blade ever!, Superfast turbo segments, guaranteed to cut all general building products including hard natural stone, hard concrete, clay products, indian sandstone, engineering bricks and granite., Cooling holes, 125mm diameter x 22.2mm bore size",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Spectrum Pro Laser Turbo Universal Diamond Blade is the fastest cutting universal blade ever! Superfast turbo segments guaranteed a clean and easy cut through all general building products, including hard natural stone, hard concrete, clay products, indian sandstone, engineering bricks and granite. Built-in holes cool the blade down during use.","The fastest cutting universal blade ever!, Superfast turbo segments, guaranteed to cut all general building products including hard natural stone, hard concrete, clay products, indian sandstone, engineering bricks and granite., Cooling holes, 125mm diameter x 22.2mm bore size",,,,,,,,,,,,0.2,,2.0,15.5,,155.0,13.5,135.0,,167,0.167,0.3
OX-P010513,OX Pro 330x330mm Aluminium Hawk,Wet Trade Hand Tools > Plastering Tools > Hawks,OX-P010513,"High quality aluminium blade, Machined concentric circles of blade to prevent mortar from sliding off, Sturdy ergonomic soft grip handle with foam anti blister ring., 330 x 330mm, .",http://images.salsify.com/image/upload/s--lcYn-3f9--/ludtjrfudkhedllt5c6s.png,http://images.salsify.com/image/upload/s--lcYn-3f9--/ludtjrfudkhedllt5c6s.png,http://images.salsify.com/image/upload/s--Y1O0rDUH--/h7ahij7dgtkxpbozb5xp.png,http://images.salsify.com/image/upload/s--8JFWj96k--/xkok6jqsjsktoreqxiwd.png,,,http://images.salsify.com/image/upload/s---EgJ3AvT--/pfo1e5xwg5qfebrgziix.png,,http://images.salsify.com/image/upload/s--lcYn-3f9--/ludtjrfudkhedllt5c6s.png,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--DjOpkVPi--/o1ezxzeztcmpjk1mlkds.png,http://images.salsify.com/image/upload/s--PGGZqmiP--/a4enw6vkwq72clij6lqv.png,http://images.salsify.com/image/upload/s--qTNeE04b--/qnf73sm0q5xc6bqvqfsw.png,http://images.salsify.com/image/upload/s--R_hCGMMf--/wvt3cpjpf2lbqe5auacn.png,,,,,,,,,,,,,,,,,,,,,,,,,The OX Pro Aluminium Plasterers Hawk features a high quality aluminium blade with machine-made concentric circles that prevent mortar/plaster from sliding off. The ergonomic soft grip handle ensures maximum comfort and incorporates a foam anti-blister ring.,"High quality aluminium blade, Machined concentric circles of blade to prevent mortar from sliding off, Sturdy ergonomic soft grip handle with foam anti blister ring., 330 x 330mm, .",,,,,,,,,,,,4,1.57,40.0,39,15.35,390.0,35,350.0,13.78,780,0.78,1.72
OX-P015010,OX Pro 100 x 180mm (10r 50d) S/S Coving Trowel,Wet Trade Hand Tools > Concreting Tools > Edgers & Groovers,OX-P015010,,http://images.salsify.com/image/upload/s--gdjlwWGB--/bm22qqlfcfqehpjospbs.png,http://images.salsify.com/image/upload/s--gdjlwWGB--/bm22qqlfcfqehpjospbs.png,http://images.salsify.com/image/upload/s--7gPsggPN--/rjgnl2onsl44aqhjjxqr.png,http://images.salsify.com/image/upload/s--YBRvth9z--/uoufk6j8nkiqe0uirirg.png,,,,,http://images.salsify.com/image/upload/s--gdjlwWGB--/bm22qqlfcfqehpjospbs.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,7.09,180.0,7.5,2.95,75.0,10,100.0,3.94,450,0.45,0.99
OX-P532420,OX Pro Semi Flex Plastic Trowel 20in/508x138mm,Wet Trade Hand Tools > Plastering Tools > Plaster Trowels,OX-P532420,"Replaceable plastic blade system, Light weight shank design, Ergonomic soft grip handle, -, .",http://images.salsify.com/image/upload/s--5pySkyur--/apxoxxzpnegwww8ocq2u.png,http://images.salsify.com/image/upload/s--5pySkyur--/apxoxxzpnegwww8ocq2u.png,http://images.salsify.com/image/upload/s--5pySkyur--/apxoxxzpnegwww8ocq2u.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The OX Pro 20"" Semiflex Plastic Finishing Trowel features tough but lightweight shank with a replaceable plastic blade. For ease of use and comfort, it comes with an ergonomic soft grip handle.","Replaceable plastic blade system, Light weight shank design, Ergonomic soft grip handle, -, .",,,,,,,,,,,,11,,110.0,53,,530.0,14,140.0,,538,0.538,1.59
MA230/22,OX Pro Asphalt Diamond Blade - 230/22.23mm,Power Tool Accessories > Diamond Blades > Asphalt/Block Blades,MA230/22,"igh quality blade with 10mm segment, Featuring 'wedge segment' undercut protection, Applications: hot rolled and footway asphalt, cement screed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Pro MA Shark Blade - Asphalt. This is an undercute protected blade with 10mm segment and wedge undercut protection. This is suitable for cutting asphalt and extremely abrasive products. Larger sizes are suitable for floorsaw use.,"igh quality blade with 10mm segment, Featuring 'wedge segment' undercut protection, Applications: hot rolled and footway asphalt, cement screed",,,,,,,,,,,,,,,,,,,,,,,
U-14RZMTAPE,U-14RZMULTI & OX-P029308 Value Pack,Power Tool Accessories > Diamond Blades > Multi-Purpose Blades,U-14RZMTAPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OX-D455401,OX Easy Start Handsaw Dumpbin,Marketing & Promotional > Merchandising > POP Displays,OX-D455401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,62.99,1600.0,2,0.79,20.0,100,1000.0,39.37,500,0.5,1.1
OX-T269001,OX Trade 7-Piece Level Bag,Tool Storage > Soft Storage > Bags,OX-T269001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.77,9.75,247.7,69.85,27.5,698.5,15.24,152.4,6,1950,1.95,4.3
OX-P095221,OX Pro 21-Inch Handy Bar,General Hand Tools > Striking & Demolition > Pry Bars,OX-P095221,,http://images.salsify.com/image/upload/s--tn9pC0t8--/8eff77dce79f0ff12cfd4c09b93fcb63b5f8a696.jpg,http://images.salsify.com/image/upload/s--tn9pC0t8--/8eff77dce79f0ff12cfd4c09b93fcb63b5f8a696.jpg,http://images.salsify.com/image/upload/s--acQ-zkC0--/d4b9769b7ad731c885e1cc735861aa3ab3f0ef79.jpg,http://images.salsify.com/image/upload/s--JY34rKbl--/0862f97fa8dbd2a021fc832164698255ac090667.png,http://images.salsify.com/image/upload/s--qVM-l8TI--/4962ef13822d806f577e932ddf4b2081f981c4fd.jpg,http://images.salsify.com/image/upload/s--dGbZppMt--/34375a8d9bea2cf8b3a598c4543f6b69ce4faf29.jpg,http://images.salsify.com/image/upload/s--jPWUyOa3--/ebbfa2344d390319e178b5535a76ee2195986fd7.jpg,http://images.salsify.com/image/upload/s--dc71I8Tj--/84977516c53ca2568831dc93abe95aa7a37b1e4c.jpg,,http://images.salsify.com/image/upload/s--R6FxV2H7--/1ce1580be6b0ad51f4e4d9b960b66625cb059c3e.jpg,http://images.salsify.com/image/upload/s--Q5VX_S_c--/bbcec3b6982ad6e3cd80f30a3072f1f6474c8d2c.jpg,,,http://images.salsify.com/image/upload/s--Hekn8-8M--/079e98954297ed4b64dc96db791eddad6eaffcf3.png,http://images.salsify.com/image/upload/s---bOKAyeH--/e66e050fa216e273da3f9e0e8bdb507640662f9f.jpg,http://images.salsify.com/image/upload/s--DVidGo3P--/96060eb8c2eb2fc3dad1d7a7cab24dcf5d8f61e7.jpg,http://images.salsify.com/image/upload/s--ionB094o--/06ad7a7e3fc044f5af0c45aabac0fa72a9a4196f.jpg,http://images.salsify.com/image/upload/s--B69DgZzs--/264b4909a29bb804be854c663334b5e917f28f1b.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.3,22.95,583.0,7.6,2.99,76.0,7.4,74.0,2.91,820,0.82,1.81
OX-P152475,OX Pro 190mm Parrot Beak Nipper,General Hand Tools > Pliers > Nippers,OX-P152475,,http://images.salsify.com/image/upload/s--boGmJH81--/qrzffo51qaou0bxbwl0z.png,http://images.salsify.com/image/upload/s--boGmJH81--/qrzffo51qaou0bxbwl0z.png,http://images.salsify.com/image/upload/s--qS9q8nq8--/kfdyic1zk8fbuwa4vqje.png,http://images.salsify.com/image/upload/s--dhgsE0wk--/uuqcoutgpgnmj8aye6xt.png,,,,http://images.salsify.com/image/upload/s--_lryGZMl--/amyfcehqrtyc2kkpslqe.png,http://images.salsify.com/image/upload/s--boGmJH81--/qrzffo51qaou0bxbwl0z.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,7.87,200.0,2,0.79,20.0,5,50.0,1.97,250,0.25,0.55
OX-P263601,OX Pro 4-Piece Oil-Tanned Leather   Construction Rig - S/M Contractor Work Belt With Suspenders,Tool Storage > Tool Belts & Pouches > Rigs,OX-P263601,,,,,,,,,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--iw1lGQ9R--/da6crv06zr8ziqzzbmer.jpg,http://images.salsify.com/image/upload/s--WkQc338R--/zxgsixcs0qmmgn2qw3d3.jpg,http://images.salsify.com/image/upload/s--8xSSTzE5--/cqschhrprqatqkigjuyh.jpg,http://images.salsify.com/image/upload/s--1T5CEGP5--/fnjfswdicocfk6dkfmef.jpg,,,,,,,http://images.salsify.com/video/upload/s--6IvHPSU_--/mzhijknly9ycxz9emzuz.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OX-D459803A,OX Half Height Kits - Double-sided Standard Bay - Part 1 of 2,Marketing & Promotional > Merchandising > Floor Displays,OX-D459803A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LST150/25/22,Pro Thin Turbo Dia Blade - Porcelain - 150/25.4/22.23mm,Power Tool Accessories > Diamond Blades > Tile Blades,LST150/25/22,"Cuts all tiles guaranteed, Reducing bushes provide for all common sizes, Thin cutting edge removes less material, S-slot cool cutting, 8mm Segment",http://images.salsify.com/image/upload/s--YIc2wkCT--/hbgzo8ekvkylajor7vik.jpg,http://images.salsify.com/image/upload/s--YIc2wkCT--/hbgzo8ekvkylajor7vik.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Spectrum Ultimate Thin Turbo Dia Blade - Porcelain - 150/25.4/22.23mm. Engineered with a super thin turbo design featuring a 7mm segment, it delivers the finest cut for porcelain. Versatile for porcelain, ceramic, natural stone, and granite applications, it ensures precise and efficient cutting performance every time.","Cuts all tiles guaranteed, Reducing bushes provide for all common sizes, Thin cutting edge removes less material, S-slot cool cutting, 8mm Segment",,,,,,,,,,,,0.34,,3.4,18,,180.0,16,160.0,,170,0.17,
OX-P316408,OX Pro Heavy Duty Staples - 8mm,General Hand Tools > Fastening > Staple & Rivet Guns,OX-P316408,"Heavy duty staples manufactured from high quality steel., Galvanized surface for indoor or outdoor use., Pack contains 1000 staples., Compatible with: OX-T316103, OX-P316204 & OX-P316301.",http://images.salsify.com/image/upload/s--De7lMfAS--/qjqkcbw8kjofmvfegmzi.png,http://images.salsify.com/image/upload/s--De7lMfAS--/qjqkcbw8kjofmvfegmzi.png,http://images.salsify.com/image/upload/s--De7lMfAS--/qjqkcbw8kjofmvfegmzi.png,http://images.salsify.com/image/upload/s--ab56hKsj--/lc6ywsmy4ott1cv3r0mm.png,,,,,,,,,,http://images.salsify.com/image/upload/s--UoJItt7b--/wlkcwixvhzdpb98pfuts.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Introducing OX Pro Heavy Duty Staples for all your stapling needs. Manufactured from high-quality steel, these staples withstand tough tasks. Suitable for both indoor & outdoor use thanks to its galvanised finish. Each pack contains 1000 staples, and are compatible with OX-T316103, OX-P316204, OX-P316301. ","OX Pro Heavy Duty Staples - 8mm, a powerhouse tool for your stapling needs. Crafted with heavy-duty staples made from high-quality steel and a galvanized surface, it's perfect for indoor or outdoor projects. Each pack contains 1000 staples, with various sizes available for versatile use.","Heavy duty staples manufactured from high quality steel., Galvanized surface for indoor or outdoor use., Pack contains 1000 staples., Compatible with: OX-T316103, OX-P316204 & OX-P316301.",,,,,,,,,,,,0,,0.0,0,,0.0,0,0.0,,121,0.121,0.27
OXPOS-HANGER (10 Pack),10 OX Hanger for Clothing Stands,Marketing & Promotional > Merchandising > Pegboard Attachments,OXPOS-HANGER (10 Pack),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUS-45RZTT,115mm Razorcut Thin Turbo Diamond Blade,Power Tool Accessories > Diamond Blades > Tile Blades,CUS-45RZTT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,4.33,110.0,0.2,0.08,2.0,11,110.0,4.33,100,0.1,0.22
OX-D437301,40pc Marker Tray and Master Carton,Marketing & Promotional > Merchandising > Floor Displays,OX-D437301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OX-P010709131,NOZOX Bullnose Alu chrome 6 x 2500mm,Wet Trade Hand Tools > Tiling Tools > Tile Profiles,OX-P010709131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
